SeriesCode,GeoAreaName,TimePeriod,values
Clean Water,Romania,2001,0.8066315159611799
Clean Water,Russia,2001,0.7325994912971565
Clean Water,Samoa,2001,0.5485571910081289
Clean Water,San Marino,2001,1.0
Clean Water,Serbia,2001,0.7320140550951403
Clean Water,Sierra Leone,2001,0.0
Clean Water,Singapore,2001,1.0
Clean Water,Slovakia,2001,0.9177570433453052
Clean Water,Slovenia,2001,0.7874730952215977
Clean Water,Spain,2001,0.9875877641730919
Clean Water,Sweden,2001,0.9993691420236893
Clean Water,Switzerland,2001,0.9245527506091197
Clean Water,Tajikistan,2001,0.33162826441402704
Clean Water,Tunisia,2001,0.42497211344887215
Clean Water,Turkmenistan,2001,0.6550768243072101
Clean Water,Uganda,2001,0.0002568643393544937
Clean Water,Ukraine,2001,0.6402179109621772
Clean Water,United Kingdom,2001,0.999650714967116
Clean Water,Uzbekistan,2001,0.5424511166554181
Clean Water,Vanuatu,2001,0.36510400692597944
Clean Water,Albania,2002,0.46368900436518945
Clean Water,American Samoa,2002,0.0776359977097606
Clean Water,Andorra,2002,0.9014135360900187
Clean Water,Armenia,2002,0.2974468423050526
Clean Water,Austria,2002,0.9776679540485964
Clean Water,Azerbaijan,2002,0.47953793704032477
Clean Water,Bahrain,2002,0.9878239397426051
Clean Water,Bangladesh,2002,0.5357114719675288
Clean Water,Belarus,2002,0.7997788966826498
Clean Water,Belgium,2002,0.9949777780212011
Clean Water,Bhutan,2002,0.2594614566950531
Clean Water,Bosnia and Herzegovina,2002,0.8693373346517518
Clean Water,Bulgaria,2002,0.9666639773065756
Clean Water,Cambodia,2002,0.13423631933756638
Clean Water,Canada,2002,0.9812676239103352
Clean Water,Chile,2002,0.9262432111212273
Clean Water,Colombia,2002,0.6737977191136824
Clean Water,Congo [DRC],2002,0.23934444635906282
Clean Water,Costa Rica,2002,0.8721962367777225
Clean Water,Croatia,2002,0.8901782603365169
Clean Water,Cyprus,2002,0.9513265145766827
Clean Water,Czech Republic,2002,0.9624595174066198
Clean Water,Denmark,2002,0.9350486886525715
Clean Water,Ecuador,2002,0.6569074142497886
Clean Water,Estonia,2002,0.9333870432950461
Clean Water,Ethiopia,2002,0.003614837010032651
Clean Water,Finland,2002,0.9332327386266399
Clean Water,France,2002,0.9662066456545488
Clean Water,French Guiana,2002,0.8799045185883936
Clean Water,French Polynesia,2002,0.4457501650480651
Clean Water,Georgia,2002,0.7364966036120564
Clean Water,Germany,2002,0.9978934516258551
Clean Water,Ghana,2002,0.100323945008976
Clean Water,Gibraltar,2002,1.0
Clean Water,Greece,2002,0.9908897049189169
Clean Water,Greenland,2002,0.9350486886525715
Clean Water,Grenada,2002,0.7946618800270143
Clean Water,Guadeloupe,2002,0.9670377843155677
Clean Water,Guam,2002,0.9930507075685334
Clean Water,Guatemala,2002,0.44953089274256164
Clean Water,Hong Kong,2002,0.8198043774917834
Clean Water,Hungary,2002,0.47869774022129713
Clean Water,Iceland,2002,0.9030304172945937
Clean Water,Iran,2002,0.9077799465863594
Clean Water,Iraq,2002,0.48459712894308987
Clean Water,Ireland,2002,0.9328008962099403
Clean Water,Israel,2002,0.9991161976296274
Clean Water,Italy,2002,0.8693599800467738
Clean Water,Japan,2002,0.9775091203011859
Clean Water,Jordan,2002,0.935625988234506
Clean Water,Kazakhstan,2002,0.5753496554318824
Clean Water,Kuwait,2002,1.0
Clean Water,Kyrgyzstan,2002,0.43732218098536746
Clean Water,Laos,2002,0.038801462450143265
Clean Water,Latvia,2002,0.9241641532033649
Clean Water,Lebanon,2002,0.41500814602256275
Clean Water,Liechtenstein,2002,1.0
Clean Water,Lithuania,2002,0.6770293749744581
Clean Water,Luxembourg,2002,1.0
Clean Water,Macedonia [FYROM],2002,0.9718498780940457
Clean Water,Malaysia,2002,0.9276995733396923
Clean Water,Malta,2002,1.0
Clean Water,Martinique,2002,0.9892819871997695
Clean Water,Mexico,2002,0.36179862998519935
Clean Water,Micronesia,2002,0.7153703459500134
Clean Water,Moldova,2002,0.41302219754283764
Clean Water,Monaco,2002,1.0
Clean Water,Mongolia,2002,0.18720295034739085
Clean Water,Morocco,2002,0.5429984441033708
Clean Water,Nepal,2002,0.20332183719667282
Clean Water,Netherlands,2002,0.9999722988888801
Clean Water,New Caledonia,2002,0.8549543489901839
Clean Water,New Zealand,2002,0.7695116936606797
Clean Water,Nicaragua,2002,0.4729029416262806
Clean Water,Nigeria,2002,0.1159305192936659
Clean Water,Niue,2002,0.9814269842948392
Clean Water,North Korea,2002,0.6738771359873875
Clean Water,Northern Mariana Islands,2002,0.8144317311909456
Clean Water,Norway,2002,1.0
Clean Water,Oman,2002,0.7348443323947959
Clean Water,Pakistan,2002,0.3463423579270047
Clean Water,Paraguay,2002,0.4884195662953945
Clean Water,Peru,2002,0.4293378360102647
Clean Water,Philippines,2002,0.3492640351945249
Clean Water,Portugal,2002,0.9337469470847688
Clean Water,Puerto Rico,2002,0.7368868416983667
Clean Water,Qatar,2002,0.9641886776395366
Clean Water,Romania,2002,0.8060776869761805
